id,sortOrder,title,tagline,backgroundColor,heroImageUrl,sizesSummary
glaze-gel,1,Glaze Gels,The finish your cakes remember.,#F5E6D3,,250gm · 1 Kg · 2.5 Kg
fruit-filling,2,Fruit Fillings,Where every slice tells a story.,#FCE8EC,,300gm · 1 Kg
crushes,3,Crushes,Flavour at full volume.,#FFF3E0,,300ml · 750ml · 1 Ltr · 5 Ltr
syrups,4,Syrups,Pour personality into every drink.,#FFE8CC,,750ml · 5 Ltr
fondants,5,Fondants,Colour your craft.,#F2C4CE,,200gm · 1 Kg
chocolate-sauce,6,Chocolate Sauce,The drizzle that closes the deal.,#EDE4DC,,300ml · 1 Ltr
